Afghánistán,257
Albánie,295
Alžírsko,701
Americká Samoa,-
Andorra,-
Angola,142
Argentina,134
Arménie,1 672
Austrálie,592
Ázerbájdžán,840
Bahamy,-
Bahrajn,11
Bangladéš,150
Barbados,1
Belgie,665
Belize,2
Bělorusko,4 491
Benin,41
Bhútán,5
Bolívie,66
Bosna a Hercegovina,1 976
Botswana,67
Brazílie,434
Britská závislá území,-
Britští zámoř. obč.,-
Bulharsko,10 984
Burkina Faso,15
Burundi,3
Čad,6
Černá Hora,173
Čína,5 721
Dánsko,359
Demokratická republika Kongo,81
Dominika,2
Dominikánská republika,48
Džibutsko,1
Egypt,773
Ekvádor,78
Eritrea,2
Estonsko,176
Etiopie,100
Fidži,5
Filipíny,580
Finsko,338
Francie,3 483
Gambie,15
Ghana,343
Grenada,2
Gruzie,746
Guatemala,27
Guinea,72
Guinea-Bissau,18
Guyana,5
Haiti,10
Honduras,23
Hongkong,15
Chile,122
Chorvatsko,2 619
Indie,1 982
Indonésie,180
Irák,350
Írán,391
Irsko,747
Island,35
Itálie,4 161
Izrael,907
Jamajka,12
Japonsko,1 483
Jemen,199
Jižní Afrika,264
Jordánsko,235
Jugoslávie,-
Kambodža,40
Kamerun,90
Kanada,917
Kapverdy,13
Katar,1
Kazachstán,5 141
Keňa,65
Kiribati,-
Kolumbie,235
Komory,-
Konžská republika,45
Korejská lidově dem. republika,6
Korejská republika,1 692
Kosovo,1 092
Kostarika,57
Kuba,285
Kuvajt,21
Kypr,107
Kyrgyzstán,562
Laos,19
Lesotho,1
Libanon,300
Libérie,7
Libye,190
Lichtenštejnsko,1
Litva,681
Lotyšsko,425
Lucembursko,25
Macao,-
Madagaskar,20
Maďarsko,3 135
Makedonie,1 878
Malajsie,284
Malawi,5
Maledivy,5
Mali,29
Malta,30
Maroko,269
Marshallovy ostrovy,-
Mauricius,26
Mauritánie,4
Mexiko,479
Moldavsko,5 032
Mongolsko,5 986
Mosambik,6
Myanmar (Barma),12
Namibie,22
Nauru,1
Německo,20 464
Nepál,246
Niger,3
Nigérie,635
Nikaragua,14
Nizozemsko,3 010
Norsko,251
Nový Zéland,157
Omán,6
Pákistán,543
Palestina,167
Panama,40
Paraguay,23
Peru,208
Pobřeží slonoviny,74
Polsko,19 840
Portoriko,-
Portugalsko,448
Rakousko,3 464
Rovníková Guinea,-
Rumunsko,9 116
Rusko,34 710
Rwanda,9
Řecko,1 228
Saint Pierre a Miquelon,-
Salvador,21
Samoa,1
San Marino,1
Saúdská Arábie,164
Senegal,55
Seychely,6
Sierra Leone,13
Singapur,58
Slovensko,101 589
Slovinsko,398
Somálsko,2
Spojené arabské emiráty,7
Spojené státy,6 478
Spol. nezávislých států,-
Srbsko,2 698
Srbsko a Černá Hora,210
Súdán,52
Surinam,2
Svatá Lucie,4
Svatý Kryštof a Nevis,1
Svatý Tomáš a Princův ostrov,1
Svatý Vincenc a Grenadiny,1
Svazijsko,-
Sýrie,758
Španělsko,1 215
Šrí Lanka (Cejlon),100
Švédsko,826
Švýcarsko,592
Tádžikistán,121
Tanzanie,19
Thajsko,905
Tchaj-wan,325
Togo,14
Tonga,4
Trinidad a Tobago,4
Tunisko,800
Turecko,1 664
Turkmenistán,38
Uganda,32
Ukrajina,105 614
Uruguay,23
Uzbekistán,1 628
Vanuatu,1
Velká Británie,5 966
Venezuela,98
Vietnam,56 900
Wallis a Futuna,-
Zambie,46
Zimbabwe,36
Bez státního občanství + ostatní + nezjištěno,849
