Ukraine;87 789;102 594;126 721;131 921;131 932;124 281;118 932;112 549;105 138;104 156;105 614
Slovakia;49 446;58 384;67 889;76 034;73 446;71 780;81 253;85 807;90 948;96 222;101 589
Viet Nam;36 833;40 779;51 101;60 255;61 115;60 289;58 205;57 300;57 347;56 609;56 900
Russian Federation;16 273;18 564;23 278;27 086;30 297;31 807;32 377;32 961;33 138;34 416;34 710
Germany;7 187;10 109;15 700;17 496;13 792;13 871;15 763;17 149;18 507;19 687;20 464
Poland;17 810;18 894;20 601;21 710;19 273;18 242;19 058;19 235;19 452;19 626;19 840
Bulgaria;4 551;4 635;5 021;5 922;6 403;6 927;7 435;8 222;9 132;10 058;10 984
Romania;2 701;2 816;3 177;3 615;4 091;4 410;4 842;5 664;6 777;7 741;9 116
United States;3 952;4 212;4 452;5 272;5 941;6 074;7 317;6 976;7 134;6 476;6 478
Mongolia;2 435;3 280;6 026;8 569;5 745;5 576;5 385;5 306;5 287;5 461;5 986
United Kingdom;2 235;2 871;3 775;4 512;4 363;4 356;4 924;5 210;5 376;5 647;5 966
China;3 580;4 157;4 978;5 203;5 352;5 470;5 579;5 600;5 503;5 574;5 721
Kazakhstan;2 247;2 379;2 959;3 363;3 905;4 243;4 534;4 753;4 821;5 000;5 141
"Moldova 
(the Republic of)";4 674;6 198;8 029;10 636;10 042;8 860;7 588;6 355;5 663;5 252;5 032
Belarus;3 020;3 211;3 732;3 904;4 307;4 235;4 199;4 271;4 312;4 401;4 491
Italy;1 761;2 011;2 351;2 616;2 558;2 608;2 933;3 197;3 503;3 810;4 161
France;1 551;1 869;2 140;2 445;2 278;2 282;2 715;2 932;3 025;3 244;3 483
Austria;2 368;3 022;3 373;3 580;2 992;2 924;3 282;3 345;3 400;3 447;3 464
Hungary;512;535;587;653;654;713;839;999;1 519;2 300;3 135
Netherlands;1 260;1 717;2 240;2 604;2 507;2 446;2 681;2 777;2 872;2 946;3 010
Serbia;-;101;570;1 031;1 584;2 005;2 297;2 438;2 567;2 628;2 698
Croatia;2 140;2 225;2 324;2 324;2 356;2 422;2 487;2 495;2 490;2 613;2 619
India;541;729;872;977;1 065;1 170;1 191;1 317;1 469;1 655;1 982
Bosnia and Herzegovina;1 684;1 727;2 082;2 431;2 232;2 168;2 193;2 236;2 101;1 902;1 976
Macedonia (the former Yugoslav Republic of);1 215;1 438;1 785;2 153;2 068;1 943;1 879;1 830;1 804;1 838;1 878
Korea (the Republic of);275;347;753;1 314;1 248;1 331;1 413;1 485;1 520;1 517;1 692
