Ukraine;1 502;953;1 123;1 064;888;1 020
Russian Federation;376;261;346;419;512;381
Viet Nam;389;310;341;380;311;301
Mongolia;253;139;115;97;97;-
Slovakia;224;135;137;118;197;129
Kuwait;-;-;-;54;255;450
Libya;-;-;-;-;296;406
China;87;70;69;110;88;71
Moldova;140;97;87;83;59;-	
Armenia;80;59;87;77;85;-
Georgia;163;-;72;64;46;-;439
Uzbekistan;88;40;60;85;69;59
Saudi Arabia;-;-;-;45;109;231
Kazakhstan;61;32;58;60;64;59
Belarus;80;61;49;57;-;-
Turkey;49;43;47;-;55;55
Kosovo;-;-;-;-;-;183
Nigeria;73;58;-;-;-;-
Syrian Arab Republic;-;-;-;-;-;142
Afghanistan;-;-;46;-;-;63
Kyrgyzstan;50;45;-;-;-;-
India;-;-;-;-;-;70
United States;-;-;-;47;-;-
Libanon;-;-;41;-;-;-
Egypt;-;31;-;-;-;-
